character,transliteration,pronunciation_us,pronunciation_notes,chart_row,chart_col,startswith_vowel,endswith_consonant
Ꮮ,tle,tlay,"""ay"" like ""day""",2,10,N,N
Ꮯ,tli,tlee,"""ee"" like ""see""",3,10,N,N
Ꮰ,tlo,tloh,"""oh"" like ""oh"", ""so"", or ""go""",4,10,N,N
Ꮱ,tlu,tloo,"""oo"" like ""cool""",5,10,N,N
Ꮲ,tlv,tluh,"""uh"" like ""duh"", but nasalized",6,10,N,N
Ꮳ,tsa,chah,"""ah"" like ""hah"" or ""nah""; ""ch"" at the beginning has a harsher sound than English, as if a ""t"" were in front of it.",1,11,N,N
Ꮴ,tse,chay,"""ay"" like ""day""; ""ch"" at the beginning has a harsher sound than English, as if a ""t"" were in front of it.",2,11,N,N
Ꮵ,tsi,chee,"""ee"" like ""see""; ""ch"" at the beginning has a harsher sound than English, as if a ""t"" were in front of it.",3,11,N,N
Ꮶ,tso,choh,"""oh"" like ""oh"", ""so"", or ""go""; ""ch"" at the beginning has a harsher sound than English, as if a ""t"" were in front of it.",4,11,N,N
Ꮷ,tsu,choo,"""oo"" like ""cool""; ""ch"" at the beginning has a harsher sound than English, as if a ""t"" were in front of it.",5,11,N,N
Ꮸ,tsv,chuh,"""uh"" like ""duh"", but nasalized; ""ch"" at the beginning has a harsher sound than English, as if a ""t"" were in front of it.",6,11,N,N
Ꮹ,wa,wah,"""ah"" like ""hah"" or ""nah""",1,12,N,N
Ꮺ,we,way,"""ay"" like ""day""",2,12,N,N
Ꮻ,wi,wee,"""ee"" like ""see""",3,12,N,N
Ꮼ,wo,woh,"""oh"" like ""oh"", ""so"", or ""go""",4,12,N,N
Ꮽ,wu,woo,"""oo"" like ""cool""",5,12,N,N
Ꮾ,wv,wuh,"""uh"" like ""duh"", but nasalized",6,12,N,N
Ꮿ,ya,yah,"""ah"" like ""hah"" or ""nah""",1,13,N,N
Ᏸ,ye,yay,"""ay"" like ""day""",2,13,N,N
Ᏹ,yi,yee,"""ee"" like ""see""",3,13,N,N
Ᏺ,yo,yoh,"""oh"" like ""oh"", ""so"", or ""go""",4,13,N,N
Ᏻ,yu,yoo,"""oo"" like ""cool""",5,13,N,N
Ᏼ,yv,yuh,"""uh"" like ""duh"", but nasalized",6,13,N,N
